# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.6570494e+00   3.876966e-01   3.876966e-01   3.876966e-01   3.876966e-01   3.876966e-01   3.876966e-01
-1.6552222e+00   3.944513e-01   3.944513e-01   3.944513e-01   3.944513e-01   3.944513e-01   3.944513e-01
-1.6534027e+00   4.01206e-01   4.01206e-01   4.01206e-01   4.01206e-01   4.01206e-01   4.01206e-01
-1.6515907e+00   4.0796068e-01   4.0796068e-01   4.0796068e-01   4.0796068e-01   4.0796068e-01   4.0796068e-01
-1.6497864e+00   4.1471538e-01   4.1471538e-01   4.1471538e-01   4.1471538e-01   4.1471538e-01   4.1471538e-01
-1.6479894e+00   4.2147008e-01   4.2147008e-01   4.2147008e-01   4.2147008e-01   4.2147008e-01   4.2147008e-01
-1.6462e+00   4.2822477e-01   4.2822477e-01   4.2822477e-01   4.2822477e-01   4.2822477e-01   4.2822477e-01
-1.6444178e+00   4.350845e-01   4.350845e-01   4.350845e-01   4.350845e-01   4.350845e-01   4.350845e-01
-1.6426429e+00   4.4233015e-01   4.4233015e-01   4.4233015e-01   4.4233015e-01   4.4233015e-01   4.4233015e-01
-1.6408751e+00   4.4957578e-01   4.4957578e-01   4.4957578e-01   4.4957578e-01   4.4957578e-01   4.4957578e-01
-1.6391146e+00   4.5682144e-01   4.5682144e-01   4.5682144e-01   4.5682144e-01   4.5682144e-01   4.5682144e-01
-1.6373613e+00   4.640671e-01   4.640671e-01   4.640671e-01   4.640671e-01   4.640671e-01   4.640671e-01
-1.6356149e+00   4.7131276e-01   4.7131276e-01   4.7131276e-01   4.7131276e-01   4.7131276e-01   4.7131276e-01
-1.6338755e+00   4.785584e-01   4.785584e-01   4.785584e-01   4.785584e-01   4.785584e-01   4.785584e-01
-1.6321431e+00   4.8580405e-01   4.8580405e-01   4.8580405e-01   4.8580405e-01   4.8580405e-01   4.8580405e-01
-1.6304176e+00   4.930497e-01   4.930497e-01   4.930497e-01   4.930497e-01   4.930497e-01   4.930497e-01
-1.628699e+00   5.0029534e-01   5.0029534e-01   5.0029534e-01   5.0029534e-01   5.0029534e-01   5.0029534e-01
-1.626987e+00   5.07541e-01   5.07541e-01   5.07541e-01   5.07541e-01   5.07541e-01   5.07541e-01
-1.6252817e+00   5.1478666e-01   5.1478666e-01   5.1478666e-01   5.1478666e-01   5.1478666e-01   5.1478666e-01
-1.6235832e+00   5.220323e-01   5.220323e-01   5.220323e-01   5.220323e-01   5.220323e-01   5.220323e-01
-1.6218913e+00   5.289498e-01   5.289498e-01   5.289498e-01   5.289498e-01   5.289498e-01   5.289498e-01
-1.6202059e+00   5.355354e-01   5.355354e-01   5.355354e-01   5.355354e-01   5.355354e-01   5.355354e-01
-1.618527e+00   5.4212093e-01   5.4212093e-01   5.4212093e-01   5.4212093e-01   5.4212093e-01   5.4212093e-01
-1.6168547e+00   5.487065e-01   5.487065e-01   5.487065e-01   5.487065e-01   5.487065e-01   5.487065e-01
-1.6151887e+00   5.55292e-01   5.55292e-01   5.55292e-01   5.55292e-01   5.55292e-01   5.55292e-01
